Name,FITS,HIcont,HIcont_p,Voxels,Image_size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
HCG2,15.76,69466.0,1.6824873666914684,4128768.0,0.3243872094155487,0.0008411325397901,33.048,0.0,0.0,0.0,0.0,0.0,1.0,791.830078125,394.96875
H07,55.006,323454.0,2.243416526100852,14417920.0,0.5037330248623176,0.0002998409618157,145.098,0.0,0.0,0.0,0.0,0.0,1.0,1753.88671875,1186.70703125
HCG10,54.006,241475.0,1.705840781882957,14155776.0,0.8778635578057811,0.0004178015806246,74.94,0.0,0.0,0.0,0.0,0.0,1.0,1199.4794921875,734.21875
HCG15,55.006,265109.0,1.838746504350142,14417920.0,0.725673217343874,0.0004712902300525,85.247,0.0,0.0,0.0,0.0,0.0,1.0,1277.3994140625,802.80859375
HCG16,63.007,352354.0,2.1335299052889387,16515072.0,0.3278038191305089,0.0003997331077698,115.79,0.0,0.0,0.0,0.0,0.0,1.0,1597.9140625,1074.4921875
H19,63.007,300444.0,1.819210960751488,16515072.0,0.5164810787737611,0.0006052558310329,161.494,0.0,0.0,0.0,0.0,0.0,1.0,1959.3701171875,1371.84765625
HCG22_0_0_0_0_0,279.006,434134.0,0.593580567281306,73138176.0,6.840398358853097,0.0006120999460108,139.949,0.0,0.0,0.0,0.0,0.0,1.0,1743.4013671875,1184.10546875
HCG23,108.572,742118.0,2.607655872266262,28459200.0,0.4168947282864851,0.0006175017915666,216.388,0.0,0.0,0.0,0.0,0.0,2.0,2434.2822265625,1755.9765625
