Name,FITS,HIcont,High/No,T_RAM,P_RAM
HCG90,1101.569,422776.0,138.631,2078.908203125,1533.09765625
HCG97,499.853,351780.0,97.219,1644.69921875,1160.62109375
HCG31,2624.68,1012686.0,349.463,3793.5654296875,2967.67578125
HCG16,300.591,156266.0,41.311,950.228515625,550.1328125
HCG2,15.76,27823.0,4.013,497.9775390625,163.828125
H07,55.006,47693.0,12.365,633.775390625,280.03125
HCG10,54.006,29893.0,3.997,489.1259765625,156.625
HCG15,55.006,17262.0,4.279,498.0537109375,164.73046875
HCG16,63.007,57005.0,7.732,546.212890625,204.9453125
H19,63.007,110654.0,22.095,730.833984375,358.25
HCG22_0_0_0_0_0,279.006,51350.0,11.218,591.212890625,239.9609375
HCG23,108.572,171113.0,28.776,831.9462890625,447.4921875
HCG25,54.006,26353.0,4.728,501.36328125,165.546875
HCG26,63.009,27292.0,7.022,531.8359375,195.578125
HCG30,56.006,20120.0,4.43,499.658203125,164.55078125
HCG31,15.76,24236.0,2.939,486.6669921875,158.27734375
HCG33,3.51,1886.0,0.398,444.2978515625,145.4609375
HCG37A,83.007,52500.0,11.997,612.42578125,257.0390625
HCG38,343.007,53566.0,13.07,623.1787109375,270.9765625
HCG40,14.507,7532.0,1.847,470.103515625,147.3046875
HCG47,514.006,223661.0,52.28,1136.8544921875,721.1953125
HCG48,56.006,19234.0,4.538,502.0849609375,167.19140625
HCG49,15.76,15675.0,2.285,474.7822265625,149.484375
HCG54,63.009,28519.0,6.546,534.3330078125,196.5859375
HCG56,682.007,210969.0,53.169,1149.5615234375,728.14453125
HCG57,513.007,168950.0,45.89,1019.939453125,613.64453125
HCG58,48.008,45665.0,6.917,532.775390625,193.37109375
HCG59,392.006,360652.0,44.201,1013.4658203125,606.3984375
HCG61,343.007,244700.0,55.494,1165.7744140625,739.3515625
HCG62,513.007,187634.0,52.081,1132.6787109375,718.82421875
N5350,63.007,36045.0,5.204,512.4482421875,176.98828125
HCG71,511.007,327390.0,61.793,1250.080078125,815.76953125
HCG79,63.504,24522.0,6.468,529.69921875,195.0859375
HCG88,14.01,13159.0,2.228,474.1982421875,148.40625
HCG90,7.759,4281.0,1.0,459.0263671875,146.296875
HCG91,54.006,22774.0,5.246,511.2744140625,179.25
HCG92,57.008,181893.0,33.162,912.2724609375,520.49609375
HCG93,52.007,20828.0,4.285,498.84375,165.1953125
H95,12.011,4912.0,1.249,467.044921875,146.0078125
NGC7674,252.007,56537.0,12.703,621.4228515625,261.7421875
HCG97,53.006,20625.0,4.411,498.02734375,164.078125
HCG90,1101.569,422776.0,175.448,2374.3779296875,1783.953125
HCG97,499.853,351780.0,187.737,2685.4267578125,2066.640625
HCG31,2624.68,1012686.0,438.882,4584.458984375,3626.07421875
HCG16,300.591,156266.0,64.945,1227.4873046875,790.71875
HCG2,15.76,27823.0,16.578,707.2353515625,339.5390625
H07,55.006,47693.0,23.24,758.3701171875,387.18359375
HCG10,54.006,29893.0,9.637,570.1982421875,226.3046875
HCG16,63.007,57005.0,18.721,706.8056640625,335.80078125
H19,63.007,110654.0,69.008,1237.1640625,791.09375
HCG22_0_0_0_0_0,279.006,51350.0,17.924,712.732421875,343.546875
HCG23,108.572,171113.0,53.352,1134.5654296875,710.25390625
HCG25,54.006,26353.0,8.424,546.4501953125,209.671875
HCG26,63.009,27292.0,9.539,588.3017578125,240.2734375
HCG30,56.006,20120.0,6.729,539.5703125,198.28515625
HCG31,15.76,24236.0,7.842,567.7412109375,224.30859375
HCG37A,83.007,52500.0,18.273,712.111328125,346.6015625
HCG40,14.507,7532.0,2.902,489.2431640625,159.2734375
HCG48,56.006,19234.0,6.916,541.759765625,201.234375
HCG49,15.76,15675.0,4.991,524.8427734375,190.6015625
HCG54,63.009,28519.0,10.004,602.8408203125,252.3359375
HCG56,682.007,210969.0,102.144,1727.2197265625,1226.984375
HCG58,48.008,45665.0,18.377,711.7568359375,340.890625
HCG59,392.006,360652.0,179.501,2581.7783203125,1951.7890625
HCG61,343.007,244700.0,89.285,1494.4833984375,1016.265625
N5350,63.007,36045.0,13.552,665.0625,303.5390625
HCG71,511.007,327390.0,111.871,1820.666015625,1302.4375
HCG79,63.504,24522.0,8.684,579.068359375,234.30078125
HCG88,14.01,13159.0,5.972,539.9150390625,201.66015625
HCG91,54.006,22774.0,7.933,559.9111328125,212.28125
HCG92,57.008,181893.0,106.217,1726.279296875,1215.98828125
HCG93,52.007,20828.0,6.734,540.5029296875,200.16796875
NGC7674,252.007,56537.0,49.997,1101.4755859375,686.421875
HCG97,53.006,20625.0,6.899,531.1845703125,194.2421875
HCG2,15.76,32747.0,4.976,511.4150390625,176.0078125
H07,55.006,81143.0,22.013,765.0634765625,391.18359375
HCG10,54.006,50765.0,8.841,582.73828125,238.66015625
HCG15,55.006,42236.0,10.431,606.2685546875,257.76953125
HCG16,63.007,90846.0,15.616,667.453125,302.26953125
H19,63.007,139772.0,27.83,818.443359375,438.78125
HCG22_0_0_0_0_0,279.006,99453.0,21.854,763.3994140625,391.484375
HCG23,108.572,267475.0,43.578,1011.330078125,604.10546875
HCG25,54.006,51171.0,10.528,609.75,259.171875
HCG26,63.009,60912.0,16.401,670.2275390625,305.59375
HCG30,56.006,43570.0,10.117,603.0517578125,255.51953125
HCG31,15.76,34725.0,5.034,515.939453125,178.734375
HCG33,3.51,3691.0,0.847,455.333984375,146.19140625
HCG37A,83.007,100216.0,22.78,768.9521484375,393.7890625
HCG38,343.007,135830.0,32.244,854.3447265625,466.421875
HCG40,14.507,15644.0,4.082,489.3564453125,159.07421875
HCG47,514.006,440858.0,104.035,1702.2314453125,1204.8984375
HCG48,56.006,41957.0,10.545,603.541015625,257.80859375
HCG49,15.76,24949.0,4.635,500.140625,166.76953125
HCG54,63.009,60394.0,15.627,665.1728515625,301.53515625
HCG56,682.007,416379.0,105.833,1715.6474609375,1212.08203125
HCG57,513.007,383113.0,101.071,1679.1728515625,1188.16796875
HCG58,48.008,66365.0,11.793,605.9208984375,252.36328125
HCG59,392.006,456260.0,63.836,1261.8310546875,825.16796875
HCG61,343.007,479454.0,109.909,1752.2783203125,1247.83984375
HCG62,513.007,411892.0,111.779,1763.40234375,1255.86328125
N5350,63.007,55194.0,9.862,600.75390625,251.01953125
HCG71,511.007,560565.0,112.28,1928.759765625,1419.64453125
HCG79,63.504,57867.0,15.936,708.6669921875,346.77734375
HCG88,14.01,22226.0,4.538,500.5234375,166.41796875
HCG90,7.759,8784.0,2.136,476.2177734375,149.52734375
HCG91,54.006,49562.0,12.283,636.796875,278.015625
HCG92,57.008,221188.0,38.789,949.1748046875,548.2421875
HCG93,52.007,43797.0,9.861,600.720703125,253.76171875
H95,12.011,11674.0,3.008,488.9619140625,158.1796875
NGC7674,252.007,80010.0,19.123,710.091796875,343.3515625
HCG97,53.006,44199.0,10.0,604.046875,255.19140625
HCG2,15.76,41504.0,6.894,533.4013671875,194.48046875
H07,55.006,144610.0,40.206,951.435546875,551.64453125
HCG10,54.006,96675.0,19.828,716.5224609375,348.60546875
HCG15,55.006,97508.0,23.96,777.8798828125,401.703125
HCG16,63.007,159468.0,31.638,851.91796875,465.22265625
H19,63.007,184255.0,37.255,930.53125,536.11328125
HCG22_0_0_0_0_0,279.006,190151.0,41.019,989.421875,586.83984375
HCG23,108.572,414739.0,65.401,1279.7431640625,836.01171875
HCG25,54.006,105458.0,23.426,771.41796875,399.16015625
HCG26,63.009,132338.0,35.56,924.501953125,531.80859375
HCG30,56.006,94237.0,22.424,766.720703125,394.3046875
HCG31,15.76,54737.0,9.351,579.9130859375,231.5
HCG33,3.51,7636.0,1.895,473.609375,147.7890625
HCG37A,83.007,189644.0,42.161,1000.7373046875,594.35546875
HCG38,343.007,321160.0,72.231,1321.56640625,874.63671875
HCG40,14.507,32739.0,8.714,578.01171875,233.2734375
HCG47,514.006,873032.0,200.931,2680.896484375,2038.53125
HCG48,56.006,91480.0,23.7,778.7529296875,399.6484375
HCG49,15.76,43590.0,9.423,594.111328125,247.8828125
HCG54,63.009,129342.0,34.896,924.373046875,530.51171875
HCG56,682.007,840527.0,204.313,2787.552734375,2134.94921875
HCG57,513.007,826754.0,207.597,2763.859375,2113.25
HCG58,48.008,107074.0,21.674,766.4404296875,390.4453125
HCG59,392.006,661345.0,110.861,1762.7705078125,1253.90234375
HCG61,343.007,943183.0,207.38,2886.5625,2231.44140625
HCG62,513.007,869713.0,224.552,3053.6171875,2375.125
N5350,63.007,93480.0,19.275,707.94921875,340.3125
HCG71,511.007,999598.0,204.344,2979.0927734375,2331.796875
HCG79,63.504,132065.0,36.095,928.5146484375,533.92578125
HCG88,14.01,41072.0,9.391,592.0595703125,247.31640625
HCG90,7.759,18169.0,4.443,500.623046875,166.5390625
HCG91,54.006,105701.0,26.867,820.556640625,438.515625
HCG92,57.008,267084.0,44.873,1016.0908203125,607.53125
HCG93,52.007,94024.0,22.049,768.8134765625,393.140625
H95,12.011,26692.0,6.767,551.421875,210.546875
NGC7674,252.007,127347.0,32.219,852.9013671875,464.9375
HCG97,53.006,94876.0,22.12,768.8505859375,393.15234375
HCG2,15.76,37868.0,20.534,772.4814453125,399.06640625
H07,55.006,118949.0,55.283,1198.2109375,771.44140625
HCG10,54.006,77315.0,23.221,796.93359375,419.5
HCG15,55.006,74202.0,23.722,792.751953125,417.22265625
HCG16,63.007,131374.0,41.758,1044.3037109375,636.03515625
H19,63.007,166932.0,99.945,1640.41015625,1148.07421875
HCG22_0_0_0_0_0,279.006,153530.0,50.462,1069.3115234375,650.125
HCG23,108.572,358828.0,110.403,2004.6923828125,1489.44921875
HCG25,54.006,82639.0,25.678,770.78125,391.6953125
HCG26,63.009,102758.0,37.186,958.5078125,560.35546875
HCG30,56.006,72925.0,23.798,784.962890625,408.06640625
HCG31,15.76,46657.0,14.84,685.82421875,318.62890625
HCG33,3.51,5957.0,2.143,475.666015625,147.875
HCG37A,83.007,153804.0,52.71,1196.8466796875,775.36328125
HCG40,14.507,25726.0,9.608,597.0234375,248.625
HCG47,514.006,695776.0,247.746,3109.03515625,2393.1171875
HCG48,56.006,70614.0,24.843,806.982421875,428.91796875
HCG49,15.76,35852.0,11.808,635.560546875,279.109375
HCG54,63.009,100443.0,36.443,969.5732421875,572.46484375
HCG56,682.007,665550.0,266.929,3251.7919921875,2504.13671875
HCG57,513.007,643556.0,227.695,2874.34375,2191.7109375
HCG58,48.008,90349.0,33.62,908.4052734375,520.4765625
HCG59,392.006,573144.0,241.89,3138.3203125,2417.1953125
HCG61,343.007,753803.0,255.014,3255.091796875,2513.76171875
HCG62,513.007,681080.0,252.186,3599.37890625, 2877.21484375
N5350,63.007,77699.0,26.949,851.125,467.4921875
HCG71,511.007,821679.0,277.481,3506.0537109375,2735.58203125
HCG79,63.504,101123.0,36.281,954.7890625,559.26171875
HCG88,14.01,33242.0,12.239,649.6044921875,285.97265625
HCG90,7.759,14288.0,5.012,524.09375,188.39453125
HCG91,54.006,82470.0,28.552,845.7197265625,461.08984375
HCG92,57.008,251025.0,144.777,2291.140625,1720.47265625
HCG93,52.007,73025.0,23.348,783.6025390625,409.4140625
H95,12.011,20381.0,6.815,543.7177734375,203.0234375
NGC7674,252.007,107888.0,66.839,1299.6865234375,854.17578125
HCG97,53.006,73689.0,23.682,784.1640625,412.3125
HCG2,15.76,69466.0,33.048,890.3642578125,500.44921875
H07,55.006,323454.0,145.098,2107.5478515625,1546.9375
HCG10,54.006,241475.0,74.94,1356.35546875,897.4921875
HCG15,55.006,265109.0,85.247,1501.8095703125,1031.65625
HCG16,63.007,352354.0,115.79,2071.6767578125,1547.83203125
H19,63.007,300444.0,161.494,2391.76171875,1806.8125
HCG22_0_0_0_0_0,279.006,434134.0,139.949,2098.25390625,1543.6484375
HCG23,108.572,742118.0,216.388,2935.345703125,2251.93359375
HCG25,54.006,270719.0,85.519,1487.3671875,1011.953125
HCG26,63.009,343555.0,125.724,1980.98046875,1448.35546875
HCG30,56.006,245984.0,80.343,1522.70703125,1061.171875
HCG31,15.76,109052.0,35.682,957.8173828125,559.3828125
HCG33,3.51,19809.0,7.094,547.8681640625,208.43359375
HCG37A,83.007,431719.0,143.805,2153.44140625,1590.98828125
HCG38,343.007,896544.0,253.343,3385.001953125,2656.54296875
HCG40,14.507,84826.0,32.305,920.2060546875,528.8515625
HCG48,56.006,244510.0,86.417,1462.400390625,991.82421875
HCG49,15.76,99064.0,35.226,940.11328125,545.43359375
HCG54,63.009,338389.0,126.593,2015.40625,1481.8515625
HCG58,48.008,223852.0,81.639,1534.39453125,1068.37109375
N5350,63.007,204676.0,70.85,1272.58203125,821.1796875
HCG79,63.504,357183.0,129.195,2005.732421875,1467.1640625
HCG88,14.01,96087.0,35.359,942.9736328125,549.79296875
HCG90,7.759,46109.0,16.049,692.2138671875,326.74609375
HCG91,54.006,272917.0,95.961,1704.5205078125,1218.18359375
HCG92,57.008,340643.0,194.333,2750.0478515625,2104.796875
HCG93,52.007,243784.0,79.032,1370.1396484375,909.8671875
H95,12.011,72004.0,24.809,808.6328125,434.95703125
NGC7674,252.007,278859.0,136.099,2285.02734375,1738.37890625
HCG97,53.006,250393.0,80.38,1525.212890625,1064.34375
HCG2,15.76,69466.0,29.951,899.0517578125,511.79296875
H07,55.006,323454.0,190.608,2738.369140625,2105.71875
HCG10,54.006,241475.0,104.785,1726.21875,1214.546875
HCG15,55.006,265109.0,124.592,1987.7021484375,1447.59375
HCG16,63.007,352354.0,155.797,2444.0703125,1856.703125
H19,63.007,300444.0,149.592,2289.5048828125,1721.0234375
HCG22_0_0_0_0_0,279.006,434134.0,194.374,2583.765625,1722.27734375
HCG23,108.572,742118.0,257.402,3148.5009765625,2404.1796875
HCG25,54.006,270719.0,121.805,1968.01171875,1436.92578125
HCG26,63.009,343555.0,181.054,2529.041015625,1908.30078125
HCG30,56.006,245984.0,115.344,1882.814453125,1359.32421875
HCG31,15.76,109052.0,44.793,1141.904296875,721.875
HCG33,3.51,19809.0,9.957,582.2900390625,224.8125
HCG37A,83.007,431719.0,195.662,2710.2333984375,2067.19140625
HCG38,343.007,896544.0,373.033,4272.728515625,3352.55859375
HCG40,14.507,84826.0,45.823,1064.494140625,647.671875
HCG48,56.006,244510.0,124.378,2022.9775390625,1493.0390625
HCG49,15.76,99064.0,48.28,1066.2109375,644.83203125
HCG54,63.009,338389.0,182.403,2531.0966796875,1909.78515625
HCG58,48.008,223852.0,103.135,1740.677734375,1231.9921875
N5350,63.007,204676.0,94.263,1617.533203125,1130.57421875
HCG79,63.504,357183.0,187.983,2745.033203125,2114.39453125
HCG88,14.01,96087.0,47.959,1135.794921875,714.53125
HCG90,7.759,46109.0,22.573,786.458984375,407.1328125
HCG91,54.006,272917.0,137.743,2118.2109375,1564.04296875
HCG92,57.008,340643.0,147.905,2124.36328125,1546.8671875
HCG93,52.007,243784.0,113.576,2054.0419921875,1530.55859375
H95,12.011,72004.0,35.992,977.38671875,572.6875
NGC7674,252.007,278859.0,152.849,2227.939453125,1649.65234375
HCG97,53.006,250393.0,115.009,1891.6181640625,1359.9375
HCG16,534.309,250924.0,99.985,1723.47265625,989.640625
HCG30,601.611,247233.0,100.237,1516.3037109375,1028.3671875
HCG31,944.992,367289.0,149.018,2009.234375,1454.390625
HCG90,1102.945,424468.0,178.304,2566.7919921875,1971.62109375
HCG91,1656.475,658298.0,282.64,3646.021484375,2907.2109375
HCG97,719.734,475374.0,258.467,3211.01171875,2496.13671875
HCG16,534.309,941065.0,380.899,4044.451171875,3155.30859375
HCG30,601.611,1016457.0,414.749,4475.1630859375,3542.73828125

