Name,FITS,HIcont,HIcont_p,Voxels,Image_size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
HCG2,15.76,37868.0,0.917174324156746,4128768.0,0.3243872094155487,0.0008411325397901,20.534,highyes,1.559,0.654,0.238,0.0,1.0,684.796875,307.7421875
H07,55.006,118949.0,0.8250080455433237,14417920.0,0.5037330248623176,0.0002998409618157,55.283,highyes,9.573,3.284,0.482,0.0,1.0,972.23046875,538.42578125
HCG10,54.006,77315.0,0.5461728131329572,14155776.0,0.8778635578057811,0.0004178015806246,23.221,highyes,3.778,1.339,0.347,0.0,1.0,696.9296875,317.2734375
HCG15,55.006,74202.0,0.5146512118252842,14417920.0,0.725673217343874,0.0004712902300525,23.722,highyes,3.565,1.187,0.249,0.0,1.0,703.232421875,318.73046875
HCG16,63.007,131374.0,0.7954794263082838,16515072.0,0.3278038191305089,0.0003997331077698,41.758,highyes,6.466,2.208,0.634,0.0,1.0,870.8212890625,460.0625
H19,63.007,166932.0,1.0107857840401786,16515072.0,0.5164810787737611,0.0006052558310329,99.945,highyes,14.339,4.882,1.608,0.0,1.0,1406.501953125,908.48828125
HCG22_0_0_0_0_0,279.006,153530.0,0.209917731609823,73138176.0,6.840398358853097,0.0006120999460108,50.462,highyes,8.306,2.808,0.548,0.0,1.0,960.0361328125,538.21484375
HCG23,108.572,358828.0,1.2608506212402315,28459200.0,0.4168947282864851,0.0006175017915666,110.403,highyes,18.337,6.851,1.963,0.0,1.0,1500.341796875,985.82421875
HCG25,54.006,82639.0,0.5837829024703415,14155776.0,0.7255910583393707,0.0004677305696532,25.678,highyes,3.859,1.362,0.346,0.0,1.0,719.818359375,336.3203125
HCG26,63.009,102758.0,0.6222073993985615,16515072.0,0.186772866649436,0.0006682941457256,37.186,highyes,5.555,1.77,0.383,0.0,1.0,826.1142578125,422.04296875
HCG30,56.006,72925.0,0.4967621394566127,14680064.0,0.7265244753812473,0.0004942347295582,23.798,highyes,3.894,1.254,0.277,0.0,1.0,687.7353515625,306.6953125
HCG31,15.76,46657.0,1.1300465417286707,4128768.0,0.0201268451545716,0.0006017159321345,14.84,highyes,2.593,0.893,0.274,0.0,1.0,622.3974609375,255.78515625
HCG33,3.51,5957.0,0.649261474609375,917504.0,0.0117758617437214,0.0007854541181586,2.143,highyes,0.333,0.124,0.03,0.0,1.0,465.9384765625,142.50390625
HCG37A,83.007,153804.0,0.7068863834243223,21757952.0,0.8341031616414375,0.0007180758984759,52.71,highyes,8.274,2.79,0.658,0.0,1.0,978.912109375,549.65625
HCG38,343.007,243094.0,0.2703586055655521,89915392.0,1.3169415478121316,0.0012275859480723,0,highyes,0,0,0,0.0,1.0,,
HCG40,14.507,25726.0,0.6768062196928879,3801088.0,0.3224014424199641,0.0003141138295177,9.608,highyes,1.268,0.607,0.111,0.0,1.0,551.4609375,201.8515625
HCG47,514.006,695776.0,0.516376421145428,134742016.0,0.1865016489957651,0.000438658404164,247.746,highyes,43.64,15.342,2.243,0.0,1.0,2663.4365234375,1941.1484375
HCG48,56.006,70614.0,0.4810197012765067,14680064.0,0.8177896684162683,0.0008145158644765,24.843,highyes,3.931,1.293,0.325,0.0,1.0,712.853515625,327.7421875
HCG49,15.76,35852.0,0.868346199156746,4128768.0,0.4615995883855499,0.0003989051328971,11.808,highyes,1.69,0.763,0.167,0.0,1.0,581.4921875,219.37109375
HCG54,63.009,100443.0,0.6081899007161458,16515072.0,0.1934311675138082,0.0004346284549683,36.443,highyes,5.745,1.72,0.402,0.0,1.0,825.1240234375,424.453125
HCG56,682.007,665550.0,0.3722685872634484,178782208.0,0.299417013794226,0.0004451489076018,266.929,highyes,50.904,18.807,5.622,0.0,1.0,2806.072265625,2050.87109375
HCG57,513.007,643556.0,0.4785519129583943,134479872.0,0.1952627762027333,0.0005510537885129,227.695,highyes,37.658,11.85,2.533,0.0,1.0,2397.7333984375,1716.65234375
HCG58,48.008,90349.0,0.7180293401082356,12582912.0,1.3081126288958351,0.000256690691458,33.62,highyes,5.053,1.738,0.513,0.0,1.0,796.1357421875,399.77734375
HCG59,392.006,573144.0,0.5577476657166773,102760448.0,0.1857359588993385,0.0006620386266149,241.89,highyes,44.924,19.759,4.604,0.0,1.0,2672.0712890625,1953.609375
HCG61,343.007,753803.0,0.8383470095976447,89915392.0,0.2072807636137762,0.0003646620607469,255.014,highyes,44.088,14.968,3.15,0.0,2.0,2821.017578125,2082.9609375
HCG62,513.007,681080.0,0.5064549734253168,134479872.0,0.1838227951332423,0.0005820092628709,252.186,highyes,41.358,12.755,2.821,0.0,1.0,2795.224609375,2084.48046875
N5350,63.007,77699.0,0.4704732743520585,16515072.0,1.677127371594321,0.0007369426311925,26.949,highyes,4.952,1.574,0.439,0.0,1.0,737.015625,348.53515625
HCG71,511.007,821679.0,0.6133966016676095,133955584.0,0.2005258347332508,0.0003932426916435,277.481,highyes,48.427,15.571,4.128,0.0,2.0,3057.0576171875,2286.59765625
HCG79,63.504,101123.0,0.6075515844778059,16644348.0,0.1951606528706524,0.0004680713755078,36.281,highyes,5.2,1.838,0.373,0.0,1.0,815.7265625,414.59765625
HCG88,14.01,33242.0,0.9057726178850448,3670016.0,0.0453938849739199,0.0002912853960879,12.239,highyes,2.041,0.721,0.172,0.0,1.0,644.5654296875,233.328125
HCG90,7.759,14288.0,0.7032825100806451,2031616.0,0.2133509300760925,0.0005158698186278,5.012,highyes,0.644,0.209,0.043,0.0,1.0,500.9287109375,159.3671875
HCG91,54.006,82470.0,0.5825890435112847,14155776.0,0.8232044861280452,0.0006528759258799,28.552,highyes,4.529,1.372,0.344,0.0,1.0,735.6142578125, 346.296875
HCG92,57.008,251025.0,1.6799725984272202,14942208.0,0.218076437045273,0.0001100559238693,144.777,highyes,27.897,7.583,1.394,0.0,1.0,1840.1572265625,1262.72265625
HCG93,52.007,73025.0,0.5357082073505108,13631488.0,0.7651235916353831,0.0004013289581052,23.348,highyes,3.613,1.247,0.324,0.0,1.0,682.9697265625,305.8125
H95,12.011,20381.0,0.6478945414225261,3145728.0,0.0457704260058357,0.0003090162645094,6.815,highyes,1.064,0.353,0.075,0.0,1.0,514.8515625,174.6484375
NGC7674,252.007,107888.0,0.1633174835689484,66060288.0,0.7345506671502007,0.0003127145173493,66.839,highyes,8.142,4.843,1.344,0.0,1.0,1095.7548828125,642.32421875
HCG97,53.006,73689.0,0.5303796732200766,13893632.0,0.7261873896052995,0.0004296694532968,23.682,highyes,3.666,1.295,0.329,0.0,1.0,687.52734375,309.65234375
