Name,FITS,HIcont,HIcont_p,Voxels,Image_size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
HCG90,1101.569,422776.0,0.1464311443613189,288720000.0,3.2936571647938755,0.0002829296572599,175.448,highyes,25.124,7.638,1.737,0.0,1.0,2405.05859375,1791.63671875
HCG97,499.853,351780.0,0.2685343511450382,131000000.0,2.7710286381793945,0.0003443894092924,187.737,highyes,30.148,9.588,2.232,0.0,1.0,2687.0830078125,2061.3359375
HCG30,5413.62,2110046.0,0.1486869327470545,1419120000.0,1.000606395298031,0.0003013038949575,794.192,highyes,0.0,0.0,0.0,0.0,4.0,,
HCG31,2624.68,1012686.0,0.1471927325581395,688000000.0,2.783393573824208,0.0002708119573071,438.882,highyes,61.114,18.619,4.027,0.0,2.0,4631.8505859375,3653.734375
HCG16,300.591,156266.0,0.1983763369196103,78772500.0,4.059415547456583,0.0003630681021604,64.945,highyes,10.411,3.485,0.886,0.0,1.0,1186.91015625,731.56640625
HCG2,15.76,27823.0,0.6738814096602183,4128768.0,0.3243872094155487,0.0008411325397901,16.578,highyes,1.155,0.505,0.188,0.0,1.0,706.3466796875,331.55078125
H07,55.006,47693.0,0.3307897394353693,14417920.0,0.5037330248623176,0.0002998409618157,23.24,highyes,4.449,1.637,0.226,0.0,1.0,768.5380859375,376.7265625
HCG10,54.006,29893.0,0.2111717506691261,14155776.0,0.8778635578057811,0.0004178015806246,9.637,highyes,1.803,0.709,0.221,0.0,1.0,570.2666015625,212.1875
HCG15,55.006,17262.0,0.1197260076349431,14417920.0,0.725673217343874,0.0004712902300525,0.0,highyes,0.0,0.0,0.0,0.0,1.0,,
HCG16,63.007,57005.0,0.3451695517888145,16515072.0,0.3278038191305089,0.0003997331077698,18.721,highyes,3.257,1.161,0.376,0.0,1.0,707.9013671875,321.30859375
H19,63.007,110654.0,0.6700182717943948,16515072.0,0.5164810787737611,0.0006052558310329,69.008,highyes,9.435,3.371,1.204,0.0,1.0,1303.8203125,841.41015625
HCG22_0_0_0_0_0,279.006,51350.0,0.0702095715375784,73138176.0,6.840398358853097,0.0006120999460108,17.924,highyes,3.048,1.049,0.214,0.0,1.0,718.916015625,338.3515625
HCG23,108.572,171113.0,0.6012572384325631,28459200.0,0.4168947282864851,0.0006175017915666,53.352,highyes,8.719,3.262,0.0,0.0,1.0,1136.7255859375,693.66015625
HCG25,54.006,26353.0,0.1861642908166956,14155776.0,0.7255910583393707,0.0004677305696532,8.424,highyes,1.427,0.58,0.17,0.0,1.0,549.6552734375,196.9453125
HCG26,63.009,27292.0,0.1652551075768849,16515072.0,0.186772866649436,0.0006682941457256,9.539,highyes,1.459,0.493,0.12,0.0,1.0,591.1845703125,230.12890625
HCG30,56.006,20120.0,0.1370566231863839,14680064.0,0.7265244753812473,0.0004942347295582,6.729,highyes,1.194,0.388,0.0,0.0,1.0,539.8046875,187.07421875
