Name,FITS,HIcont,HIcont_p,Voxels,Image_size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,,
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,,
HCG2,15.76,41504.0,1.0052393353174605,4128768.0,0.3243872094155487,0.0008411325397901,6.894,highyes,0.797,0.31,0.112,0.0,1.0,516.060546875,172.484375
H07,55.006,144610.0,1.002987948330966,14417920.0,0.5037330248623176,0.0002998409618157,40.206,highyes,6.394,2.058,0.361,0.0,1.0,823.0654296875,417.68359375
HCG10,54.006,96675.0,0.682936774359809,14155776.0,0.8778635578057811,0.0004178015806246,19.828,highyes,3.023,1.028,0.242,0.0,1.0,648.3359375,273.12890625
HCG15,55.006,97508.0,0.6762972745028408,14417920.0,0.725673217343874,0.0004712902300525,23.96,highyes,3.568,1.188,0.287,0.0,1.0,692.85546875,314.8203125
HCG16,63.007,159468.0,0.9655907040550596,16515072.0,0.3278038191305089,0.0003997331077698,31.638,highyes,4.617,1.521,0.403,0.0,1.0,752.0234375,356.015625
H19,63.007,184255.0,1.1156778486948165,16515072.0,0.5164810787737611,0.0006052558310329,37.255,highyes,5.784,1.823,0.493,0.0,1.0,812.904296875,411.8046875
HCG22_0_0_0_0_0,279.006,190151.0,0.2599887095899137,73138176.0,6.840398358853097,0.0006120999460108,41.019,highyes,6.691,2.271,0.465,0.0,1.0,912.9580078125,480.140625
HCG23,108.572,414739.0,1.457310816888739,28459200.0,0.4168947282864851,0.0006175017915666,65.401,highyes,11.151,4.155,1.197,0.0,1.0,1060.84765625,612.43359375
HCG25,54.006,105458.0,0.7449821189597801,14155776.0,0.7255910583393707,0.0004677305696532,23.426,highyes,3.376,1.138,0.278,0.0,1.0,696.8251953125,316.7421875
HCG26,63.009,132338.0,0.8013165186321924,16515072.0,0.186772866649436,0.0006682941457256,35.56,highyes,5.32,1.678,0.37,0.0,1.0,808.484375,407.4921875
HCG30,56.006,94237.0,0.6419386182512555,14680064.0,0.7265244753812473,0.0004942347295582,22.424,highyes,3.549,1.182,0.249,0.0,1.0,682.5517578125,310.02734375
HCG31,15.76,54737.0,1.325746566530258,4128768.0,0.0201268451545716,0.0006017159321345,9.351,highyes,1.511,0.472,0.148,0.0,1.0,544.4638671875,197.9609375
HCG33,3.51,7636.0,0.8322579520089286,917504.0,0.0117758617437214,0.0007854541181586,1.895,highyes,0.281,0.109,0.04,0.0,1.0,454.3681640625,140.1015625
HCG37A,83.007,189644.0,0.871607768966491,21757952.0,0.8341031616414375,0.0007180758984759,42.161,highyes,6.655,2.308,0.539,0.0,1.0,857.4111328125,447.12109375
HCG38,343.007,321160.0,0.3571802256058674,89915392.0,1.3169415478121316,0.0012275859480723,72.231,highyes,12.639,4.212,0.983,0.0,1.0,1089.16015625,635.47265625
HCG40,14.507,32739.0,0.8613060260641163,3801088.0,0.3224014424199641,0.0003141138295177,8.714,highyes,1.191,0.501,0.093,0.0,1.0,510.66015625,170.5078125
